n,threads,run,time_ms
1600,16,99,717019.0
1600,16,103,649147.0
1600,16,107,605751.0
1600,16,111,751455.0
1600,16,115,676534.0
1600,16,119,614593.0
7200,16,3,275239675.0
7200,16,7,284711764.0
7200,16,11,286064999.0
7200,16,15,288280514.0
7200,16,19,294474852.0
7200,16,23,279494921.0
7200,16,27,277402925.0
7200,16,31,296246148.0
7200,16,35,293837181.0
7200,16,39,303832530.0
7200,16,43,289339729.0
7200,16,47,312669320.0
7200,16,51,287209222.0
7200,16,55,268844796.0
7200,16,59,270359896.0
7200,16,63,287373593.0
7200,16,67,283213799.0
7200,16,71,282268473.0
7200,16,75,294947345.0
7200,16,79,289660545.0
7200,16,83,283431269.0
7200,16,87,307155030.0
7200,16,91,294801388.0
7200,16,95,274510620.0
7200,16,99,297748625.0
7200,16,103,291028328.0
7200,16,107,293297279.0
7200,16,111,283348176.0
7200,16,115,300101307.0
7200,16,119,279215736.0
2400,20,3,6324186.0
2400,20,7,6207617.0
2400,20,11,6239270.0
2400,20,15,6230298.0
2400,20,19,6379529.0
2400,20,23,6242949.0
2400,20,27,6299858.0
2400,20,31,6087511.0
2400,20,35,6267831.0
2400,20,39,6216073.0
2400,20,43,6244174.0
2400,20,47,6308249.0
2400,20,51,6366288.0
2400,20,55,6229026.0
2400,20,59,6297654.0
2400,20,63,6109861.0
2400,20,67,6158926.0
2400,20,71,6203268.0
2400,20,75,6246274.0
2400,20,79,6206107.0
2400,20,83,6262822.0
2400,20,87,6124892.0
2400,20,91,6274262.0
2400,20,95,6174112.0
2400,20,99,6229405.0
2400,20,103,6233989.0
2400,20,107,6272668.0
2400,20,111,6242007.0
2400,20,115,6246302.0
2400,20,119,6112999.0
7200,2,3,769191229.0
7200,2,7,796286893.0
7200,2,11,777315146.0
7200,2,15,803589257.0
7200,2,19,771191627.0
7200,2,23,772096209.0
7200,2,27,792620783.0
7200,2,31,768000417.0
7200,2,35,779989302.0
7200,2,39,786356477.0
7200,2,43,769979843.0
7200,2,47,773952192.0
7200,2,51,775590967.0
7200,2,55,798079412.0
7200,2,59,777828132.0
7200,2,63,773675487.0
7200,2,67,767795393.0
7200,2,71,780076563.0
7200,2,75,789050110.0
7200,2,79,789233127.0
7200,2,83,774252656.0
7200,2,87,779001168.0
7200,2,91,783012548.0
7200,2,95,773372755.0
7200,2,99,787286888.0
7200,2,103,770221021.0
7200,2,107,775540688.0
7200,2,111,768038676.0
7200,2,115,766362265.0
7200,2,119,776135788.0
4000,20,3,43384350.0
4000,20,7,42237148.0
4000,20,11,43125324.0
4000,20,15,41912399.0
4000,20,19,43723514.0
4000,20,23,42127771.0
4000,20,27,42881141.0
4000,20,31,42129872.0
4000,20,35,40914721.0
4000,20,39,42454665.0
4000,20,43,41666626.0
4000,20,47,44863653.0
4000,20,51,41345056.0
4000,20,55,43619630.0
4000,20,59,41818316.0
4000,20,63,42783394.0
4000,20,67,42569365.0
4000,20,71,42959190.0
4000,20,75,42093278.0
4000,20,79,43029210.0
4000,20,83,41030552.0
4000,20,87,41542494.0
4000,20,91,43242930.0
4000,20,95,43633244.0
4000,20,99,41814222.0
4000,20,103,43766306.0
4000,20,107,43887516.0
4000,20,111,43100193.0
4000,20,115,42802808.0
4000,20,119,41584673.0
1600,4,3,1165183.0
1600,4,7,1015968.0
1600,4,11,1100805.0
1600,4,15,1144505.0
1600,4,19,999828.0
1600,4,23,968198.0
1600,4,27,1005393.0
1600,4,31,1033059.0
1600,4,35,988232.0
1600,4,39,975427.0
1600,4,43,1040093.0
1600,4,47,1343579.0
1600,4,51,1208725.0
1600,4,55,974263.0
1600,4,59,1047525.0
1600,4,63,954264.0
1600,4,67,954944.0
